Created with UCDetector 1.10.0	2014-06-19 08:29:27	http://www.ucdetector.org/	
com.l2fprod.common.propertysheet.PropertySheetTableModel.getPropertySheetElement(PropertySheetTableModel.java:197)	Change visibility of Method "PropertySheetTableModel.getPropertySheetElement(int)" to default	PropertySheetTableModel.getPropertySheetElement(int)	org.ucdetector.analyzeMarkerVisibilityDefault	
com.l2fprod.common.propertysheet.PropertySheetTableModel.addPropertyChangeListener(PropertySheetTableModel.java:319)	Change visibility of Method "PropertySheetTableModel.addPropertyChangeListener(PropertyChangeListener)" to default	PropertySheetTableModel.addPropertyChangeListener(PropertyChangeListener)	org.ucdetector.analyzeMarkerVisibilityDefault	
com.l2fprod.common.propertysheet.PropertySheetTableModel.removePropertyChangeListener(PropertySheetTableModel.java:323)	Change visibility of Method "PropertySheetTableModel.removePropertyChangeListener(PropertyChangeListener)" to default	PropertySheetTableModel.removePropertyChangeListener(PropertyChangeListener)	org.ucdetector.analyzeMarkerVisibilityDefault	
com.l2fprod.common.propertysheet.PropertySheetTableModel.visibilityChanged(PropertySheetTableModel.java:332)	Change visibility of Method "PropertySheetTableModel.visibilityChanged()" to private	PropertySheetTableModel.visibilityChanged()	org.ucdetector.analyzeMarkerVisibilityPrivate	
com.l2fprod.common.propertysheet.PropertySheetTableModel.sortProperties(PropertySheetTableModel.java:381)	Change visibility of Method "PropertySheetTableModel.sortProperties(List)" to private	PropertySheetTableModel.sortProperties(List)	org.ucdetector.analyzeMarkerVisibilityPrivate	
com.l2fprod.common.propertysheet.PropertySheetTableModel.sortCategories(PropertySheetTableModel.java:393)	Change visibility of Method "PropertySheetTableModel.sortCategories(List)" to private	PropertySheetTableModel.sortCategories(List)	org.ucdetector.analyzeMarkerVisibilityPrivate	
com.l2fprod.common.propertysheet.PropertySheetTableModel.getPropertyCategories(PropertySheetTableModel.java:405)	Change visibility of Method "PropertySheetTableModel.getPropertyCategories(List)" to private	PropertySheetTableModel.getPropertyCategories(List)	org.ucdetector.analyzeMarkerVisibilityPrivate	
com.l2fprod.common.propertysheet.PropertySheetTableModel.NAME_COLUMN(PropertySheetTableModel.java:41)	Change visibility of Constant "PropertySheetTableModel.NAME_COLUMN" to default	PropertySheetTableModel.NAME_COLUMN	org.ucdetector.analyzeMarkerVisibilityDefault	
com.l2fprod.common.propertysheet.PropertySheetTableModel.VALUE_COLUMN(PropertySheetTableModel.java:42)	Change visibility of Constant "PropertySheetTableModel.VALUE_COLUMN" to default	PropertySheetTableModel.VALUE_COLUMN	org.ucdetector.analyzeMarkerVisibilityDefault	
com.l2fprod.common.propertysheet.PropertySheetTableModel.NUM_COLUMNS(PropertySheetTableModel.java:43)	Change visibility of Constant "PropertySheetTableModel.NUM_COLUMNS" to private	PropertySheetTableModel.NUM_COLUMNS	org.ucdetector.analyzeMarkerVisibilityPrivate	
com.l2fprod.common.propertysheet.PropertySheetTableModel.<init>(PropertySheetTableModel.java:449)	Change visibility of Member class "PropertySheetTableModel.Item" to default - May cause compile errors!	PropertySheetTableModel.Item	org.ucdetector.analyzeMarkerVisibilityDefault	
com.l2fprod.common.propertysheet.PropertySheetTableModel.hasToggle(PropertySheetTableModel.java:500)	Change visibility of Method "PropertySheetTableModel.Item.hasToggle()" to default	PropertySheetTableModel.Item.hasToggle()	org.ucdetector.analyzeMarkerVisibilityDefault	
com.l2fprod.common.propertysheet.PropertySheetTableModel.toggle(PropertySheetTableModel.java:504)	Change visibility of Method "PropertySheetTableModel.Item.toggle()" to default	PropertySheetTableModel.Item.toggle()	org.ucdetector.analyzeMarkerVisibilityDefault	
com.l2fprod.common.propertysheet.PropertySheetTableModel.<init>(PropertySheetTableModel.java:520)	Change visibility of Member class "PropertySheetTableModel.PropertyComparator" to private - May cause compile errors!	PropertySheetTableModel.PropertyComparator	org.ucdetector.analyzeMarkerVisibilityPrivate	
com.l2fprod.common.propertysheet.PropertySheetTableModel.<init>(PropertySheetTableModel.java:540)	Change visibility of Member class "PropertySheetTableModel.NaturalOrderStringComparator" to private - May cause compile errors!	PropertySheetTableModel.NaturalOrderStringComparator	org.ucdetector.analyzeMarkerVisibilityPrivate	
com.l2fprod.common.propertysheet.PropertyRendererFactory.<init>(PropertyRendererFactory.java:25)	Change visibility of Interface "PropertyRendererFactory" to default - May cause compile errors!	PropertyRendererFactory	org.ucdetector.analyzeMarkerVisibilityDefault	
com.l2fprod.common.propertysheet.PropertySheetDialog.<init>(PropertySheetDialog.java:31)	Class "PropertySheetDialog" has 0 references	PropertySheetDialog	org.ucdetector.analyzeMarkerReference	
com.l2fprod.common.propertysheet.PropertyEditorRegistry.<init>(PropertyEditorRegistry.java:38)	Change visibility of Class "PropertyEditorRegistry" to default - May cause compile errors!	PropertyEditorRegistry	org.ucdetector.analyzeMarkerVisibilityDefault	
com.l2fprod.common.propertysheet.PropertyEditorRegistry.getEditor(PropertyEditorRegistry.java:74)	Change visibility of Method "PropertyEditorRegistry.getEditor(Property)" to private	PropertyEditorRegistry.getEditor(Property)	org.ucdetector.analyzeMarkerVisibilityPrivate	
com.l2fprod.common.propertysheet.PropertyEditorRegistry.getEditor(PropertyEditorRegistry.java:135)	Change visibility of Method "PropertyEditorRegistry.getEditor(Class)" to private	PropertyEditorRegistry.getEditor(Class)	org.ucdetector.analyzeMarkerVisibilityPrivate	
com.l2fprod.common.propertysheet.PropertyEditorRegistry.registerEditor(PropertyEditorRegistry.java:150)	Change visibility of Method "PropertyEditorRegistry.registerEditor(Class,Class)" to private	PropertyEditorRegistry.registerEditor(Class,Class)	org.ucdetector.analyzeMarkerVisibilityPrivate	
com.l2fprod.common.propertysheet.PropertyEditorRegistry.registerEditor(PropertyEditorRegistry.java:154)	Method "PropertyEditorRegistry.registerEditor(Class,PropertyEditor)" has 0 references	PropertyEditorRegistry.registerEditor(Class,PropertyEditor)	org.ucdetector.analyzeMarkerReference	
com.l2fprod.common.propertysheet.PropertyEditorRegistry.unregisterEditor(PropertyEditorRegistry.java:158)	Method "PropertyEditorRegistry.unregisterEditor(Class)" has 0 references	PropertyEditorRegistry.unregisterEditor(Class)	org.ucdetector.analyzeMarkerReference	
com.l2fprod.common.propertysheet.PropertyEditorRegistry.registerEditor(PropertyEditorRegistry.java:162)	Method "PropertyEditorRegistry.registerEditor(Property,Class)" has 0 references	PropertyEditorRegistry.registerEditor(Property,Class)	org.ucdetector.analyzeMarkerReference	
com.l2fprod.common.propertysheet.PropertyEditorRegistry.registerEditor(PropertyEditorRegistry.java:166)	Method "PropertyEditorRegistry.registerEditor(Property,PropertyEditor)" has 0 references	PropertyEditorRegistry.registerEditor(Property,PropertyEditor)	org.ucdetector.analyzeMarkerReference	
com.l2fprod.common.propertysheet.PropertyEditorRegistry.unregisterEditor(PropertyEditorRegistry.java:171)	Method "PropertyEditorRegistry.unregisterEditor(Property)" has 0 references	PropertyEditorRegistry.unregisterEditor(Property)	org.ucdetector.analyzeMarkerReference	
com.l2fprod.common.propertysheet.PropertyEditorRegistry.registerDefaults(PropertyEditorRegistry.java:182)	Change visibility of Method "PropertyEditorRegistry.registerDefaults()" to private	PropertyEditorRegistry.registerDefaults()	org.ucdetector.analyzeMarkerVisibilityPrivate	
com.l2fprod.common.propertysheet.PropertyEditorFactory.<init>(PropertyEditorFactory.java:26)	Change visibility of Interface "PropertyEditorFactory" to default - May cause compile errors!	PropertyEditorFactory	org.ucdetector.analyzeMarkerVisibilityDefault	
com.l2fprod.common.propertysheet.AbstractProperty.<init>(AbstractProperty.java:28)	Change visibility of Class "AbstractProperty" to default - May cause compile errors!	AbstractProperty	org.ucdetector.analyzeMarkerVisibilityDefault	
com.l2fprod.common.propertysheet.AbstractProperty.firePropertyChange(AbstractProperty.java:73)	Change visibility of Method "AbstractProperty.firePropertyChange(Object,Object)" to private	AbstractProperty.firePropertyChange(Object,Object)	org.ucdetector.analyzeMarkerVisibilityPrivate	
com.l2fprod.common.propertysheet.PropertyRendererRegistry.<init>(PropertyRendererRegistry.java:37)	Change visibility of Class "PropertyRendererRegistry" to default - May cause compile errors!	PropertyRendererRegistry	org.ucdetector.analyzeMarkerVisibilityDefault	
com.l2fprod.common.propertysheet.PropertyRendererRegistry.getRenderer(PropertyRendererRegistry.java:75)	Change visibility of Method "PropertyRendererRegistry.getRenderer(Property)" to private	PropertyRendererRegistry.getRenderer(Property)	org.ucdetector.analyzeMarkerVisibilityPrivate	
com.l2fprod.common.propertysheet.PropertyRendererRegistry.getRenderer(PropertyRendererRegistry.java:125)	Change visibility of Method "PropertyRendererRegistry.getRenderer(Class)" to private	PropertyRendererRegistry.getRenderer(Class)	org.ucdetector.analyzeMarkerVisibilityPrivate	
com.l2fprod.common.propertysheet.PropertyRendererRegistry.registerRenderer(PropertyRendererRegistry.java:140)	Method "PropertyRendererRegistry.registerRenderer(Class,Class)" has 0 references	PropertyRendererRegistry.registerRenderer(Class,Class)	org.ucdetector.analyzeMarkerReference	
com.l2fprod.common.propertysheet.PropertyRendererRegistry.registerRenderer(PropertyRendererRegistry.java:144)	Change visibility of Method "PropertyRendererRegistry.registerRenderer(Class,TableCellRenderer)" to private	PropertyRendererRegistry.registerRenderer(Class,TableCellRenderer)	org.ucdetector.analyzeMarkerVisibilityPrivate	
com.l2fprod.common.propertysheet.PropertyRendererRegistry.unregisterRenderer(PropertyRendererRegistry.java:148)	Method "PropertyRendererRegistry.unregisterRenderer(Class)" has 0 references	PropertyRendererRegistry.unregisterRenderer(Class)	org.ucdetector.analyzeMarkerReference	
com.l2fprod.common.propertysheet.PropertyRendererRegistry.registerRenderer(PropertyRendererRegistry.java:152)	Method "PropertyRendererRegistry.registerRenderer(Property,Class)" has 0 references	PropertyRendererRegistry.registerRenderer(Property,Class)	org.ucdetector.analyzeMarkerReference	
com.l2fprod.common.propertysheet.PropertyRendererRegistry.registerRenderer(PropertyRendererRegistry.java:156)	Method "PropertyRendererRegistry.registerRenderer(Property,TableCellRenderer)" has 0 references	PropertyRendererRegistry.registerRenderer(Property,TableCellRenderer)	org.ucdetector.analyzeMarkerReference	
com.l2fprod.common.propertysheet.PropertyRendererRegistry.unregisterRenderer(PropertyRendererRegistry.java:161)	Method "PropertyRendererRegistry.unregisterRenderer(Property)" has 0 references	PropertyRendererRegistry.unregisterRenderer(Property)	org.ucdetector.analyzeMarkerReference	
com.l2fprod.common.propertysheet.PropertyRendererRegistry.registerDefaults(PropertyRendererRegistry.java:172)	Change visibility of Method "PropertyRendererRegistry.registerDefaults()" to private	PropertyRendererRegistry.registerDefaults()	org.ucdetector.analyzeMarkerVisibilityPrivate	
com.l2fprod.common.propertysheet.PropertySheetTable.<init>(PropertySheetTable.java:54)	Change visibility of Class "PropertySheetTable" to default - May cause compile errors!	PropertySheetTable	org.ucdetector.analyzeMarkerVisibilityDefault	
com.l2fprod.common.propertysheet.PropertySheetTable.PropertySheetTable(PropertySheetTable.java:92)	Change visibility of Constructor "PropertySheetTable.PropertySheetTable(PropertySheetTableModel)" to private	PropertySheetTable.PropertySheetTable(PropertySheetTableModel)	org.ucdetector.analyzeMarkerVisibilityPrivate	
